CHI Instruments
Scan Rate, 0.01 V/s
Rotation Rate, 1600 rpm
Electrolyte, 0.1 M KOH
Electrode, GC RDE (5 mm dia)
Temperature, 25 C
Number of Points, 500

Potential/V,Current/A,Time/sec

1.000000,-8.348091e-08,0.000
0.996994,-1.168706e-07,0.301
0.993988,-1.193217e-07,0.601
0.990982,-9.286540e-08,0.902
0.987976,-1.026327e-07,1.202
0.984970,-8.200852e-08,1.503
0.981964,-1.443582e-07,1.804
0.978958,-1.171592e-07,2.104
0.975952,-1.487644e-07,2.405
0.972946,-1.597280e-07,2.705
0.969940,-1.161463e-07,3.006
0.966934,-1.338253e-07,3.307
0.963928,-1.449056e-07,3.607
0.960922,-1.848472e-07,3.908
0.957916,-1.372031e-07,4.208
0.954910,-1.821792e-07,4.509
0.951904,-2.030132e-07,4.810
0.948898,-1.982217e-07,5.110
0.945892,-2.004898e-07,5.411
0.942886,-2.272341e-07,5.711
0.939880,-2.938775e-07,6.012
0.936874,-3.102061e-07,6.313
0.933868,-2.656869e-07,6.613
0.930862,-2.541902e-07,6.914
0.927856,-3.631492e-07,7.214
0.924850,-2.790514e-07,7.515
0.921844,-3.138045e-07,7.816
0.918838,-3.769884e-07,8.116
0.915832,-3.775939e-07,8.417
0.912826,-4.516641e-07,8.717
0.909820,-4.655053e-07,9.018
0.906814,-5.411850e-07,9.319
0.903808,-5.427567e-07,9.619
0.900802,-5.218234e-07,9.920
0.897796,-5.879402e-07,10.220
0.894790,-6.332792e-07,10.521
0.891784,-6.339198e-07,10.822
0.888778,-6.883365e-07,11.122
0.885772,-7.384667e-07,11.423
0.882766,-7.560895e-07,11.723
0.879760,-9.127750e-07,12.024
0.876754,-8.960424e-07,12.325
0.873747,-1.009544e-06,12.625
0.870741,-1.028985e-06,12.926
0.867735,-1.091402e-06,13.226
0.864729,-1.103732e-06,13.527
0.861723,-1.231357e-06,13.828
0.858717,-1.339876e-06,14.128
0.855711,-1.343170e-06,14.429
0.852705,-1.399746e-06,14.729
0.849699,-1.426645e-06,15.030
0.846693,-1.529903e-06,15.331
0.843687,-1.766755e-06,15.631
0.840681,-1.695004e-06,15.932
0.837675,-1.729645e-06,16.232
0.834669,-1.865137e-06,16.533
0.831663,-2.043218e-06,16.834
0.828657,-1.966017e-06,17.134
0.825651,-2.175530e-06,17.435
0.822645,-2.232887e-06,17.735
0.819639,-2.327490e-06,18.036
0.816633,-2.379952e-06,18.337
0.813627,-2.391518e-06,18.637
0.810621,-2.450905e-06,18.938
0.807615,-2.601379e-06,19.238
0.804609,-2.711958e-06,19.539
0.801603,-2.851458e-06,19.840
0.798597,-2.926003e-06,20.140
0.795591,-2.925720e-06,20.441
0.792585,-3.015344e-06,20.741
0.789579,-3.136321e-06,21.042
0.786573,-3.068399e-06,21.343
0.783567,-3.226507e-06,21.643
0.780561,-3.256870e-06,21.944
0.777555,-3.381712e-06,22.244
0.774549,-3.418641e-06,22.545
0.771543,-3.443890e-06,22.846
0.768537,-3.706211e-06,23.146
0.765531,-3.733059e-06,23.447
0.762525,-3.788515e-06,23.747
0.759519,-3.760156e-06,24.048
0.756513,-3.693530e-06,24.349
0.753507,-3.865072e-06,24.649
0.750501,-3.915274e-06,24.950
0.747495,-3.900135e-06,25.251
0.744489,-4.058272e-06,25.551
0.741483,-3.885675e-06,25.852
0.738477,-4.162458e-06,26.152
0.735471,-3.903074e-06,26.453
0.732465,-4.129258e-06,26.754
0.729459,-4.062508e-06,27.054
0.726453,-3.969312e-06,27.355
0.723447,-4.252336e-06,27.655
0.720441,-4.098192e-06,27.956
0.717435,-4.273647e-06,28.257
0.714429,-4.146592e-06,28.557
0.711423,-4.151932e-06,28.858
0.708417,-4.258304e-06,29.158
0.705411,-4.285499e-06,29.459
0.702405,-4.204650e-06,29.760
0.699399,-4.343491e-06,30.060
0.696393,-4.083649e-06,30.361
0.693387,-4.577781e-06,30.661
0.690381,-4.289784e-06,30.962
0.687375,-4.371975e-06,31.263
0.684369,-4.212502e-06,31.563
0.681363,-4.473805e-06,31.864
0.678357,-4.539638e-06,32.164
0.675351,-4.208827e-06,32.465
0.672345,-4.396433e-06,32.766
0.669339,-4.366663e-06,33.066
0.666333,-4.356683e-06,33.367
0.663327,-4.303725e-06,33.667
0.660321,-4.372362e-06,33.968
0.657315,-4.519502e-06,34.269
0.654309,-4.592799e-06,34.569
0.651303,-4.415907e-06,34.870
0.648297,-4.386241e-06,35.170
0.645291,-4.400806e-06,35.471
0.642285,-4.482643e-06,35.772
0.639279,-4.525581e-06,36.072
0.636273,-4.434071e-06,36.373
0.633267,-4.444359e-06,36.673
0.630261,-4.500923e-06,36.974
0.627255,-4.593265e-06,37.275
0.624248,-4.460878e-06,37.575
0.621242,-4.369366e-06,37.876
0.618236,-4.510966e-06,38.176
0.615230,-4.301308e-06,38.477
0.612224,-4.508552e-06,38.778
0.609218,-4.527275e-06,39.078
0.606212,-4.643440e-06,39.379
0.603206,-4.558287e-06,39.679
0.600200,-4.415281e-06,39.980
0.597194,-4.534584e-06,40.281
0.594188,-4.554584e-06,40.581
0.591182,-4.432455e-06,40.882
0.588176,-4.404881e-06,41.182
0.585170,-4.440677e-06,41.483
0.582164,-4.675507e-06,41.784
0.579158,-4.631768e-06,42.084
0.576152,-4.492026e-06,42.385
0.573146,-4.561512e-06,42.685
0.570140,-4.601160e-06,42.986
0.567134,-4.437244e-06,43.287
0.564128,-4.444491e-06,43.587
0.561122,-4.584655e-06,43.888
0.558116,-4.453697e-06,44.188
0.555110,-4.233840e-06,44.489
0.552104,-4.684300e-06,44.790
0.549098,-4.642918e-06,45.090
